parcl_id,country,geoid,state_fips_code,name,state_abbreviation,region,location_type,total_population,median_income,parcl_exchange_market,pricefeed_market,case_shiller_10_market,case_shiller_20_market
2899667,USA,17980,,"Columbus, Ga-Al",,,CBSA,326159,55720,0,0,0,0
2900384,USA,43780,,"South Bend-Mishawaka, In-Mi",,,CBSA,323992,62448,0,0,0,0
2899650,USA,17300,,"Clarksville, Tn-Ky",,,CBSA,322949,62188,0,0,0,0
2900080,USA,31180,,"Lubbock, Tx",,,CBSA,322285,61535,0,0,0,0
2900297,USA,40220,,"Roanoke, Va",,,CBSA,314708,65687,0,0,0,0
2899798,USA,21780,,"Evansville, In-Ky",,,CBSA,313961,64084,0,0,0,0
2900024,USA,28700,,"Kingsport-Bristol, Tn-Va",,,CBSA,308386,53644,0,0,0,0
2900018,USA,28420,,"Kennewick-Richland, Wa",,,CBSA,304252,82146,0,0,0,0
2899936,USA,25180,,"Hagerstown-Martinsburg, Md-Wv",,,CBSA,295165,72751,0,0,0,0
2900207,USA,36500,,"Olympia-Lacey-Tumwater, Wa",,,CBSA,294272,88895,0,0,0,0
2899763,USA,20260,,"Duluth, Mn-Wi",,,CBSA,291491,67612,0,0,0,0
2900448,USA,46540,,"Utica-Rome, Ny",,,CBSA,291348,66823,0,0,0,0
2900496,USA,48900,,"Wilmington, Nc",,,CBSA,289726,68845,0,0,0,0
2899729,USA,18880,,"Crestview-Fort Walton Beach-Destin, Fl",,,CBSA,288639,74279,0,1,0,0
2900075,USA,30980,,"Longview, Tx",,,CBSA,287359,62910,0,0,0,0
2900124,USA,32900,,"Merced, Ca",,,CBSA,282290,64772,0,0,0,0
2900340,USA,42020,,"San Luis Obispo-Paso Robles, Ca",,,CBSA,281712,90158,0,0,0,0
2900465,USA,47380,,"Waco, Tx",,,CBSA,278103,59193,0,0,0,0
2900379,USA,43620,,"Sioux Falls, Sd",,,CBSA,277944,78552,0,0,0,0
2899830,USA,16300,,"Cedar Rapids, Ia",,,CBSA,275693,75477,0,0,0,0
2899633,USA,14740,,"Bremerton-Silverdale-Port Orchard, Wa",,,CBSA,275411,93675,0,0,0,0
2887281,USA,12100,,"Atlantic City-Hammonton, Nj",,,CBSA,274339,73113,0,0,0,0
2900440,USA,46220,,"Tuscaloosa, Al",,,CBSA,272931,58132,0,0,0,0
2899791,USA,21500,,"Erie, Pa",,,CBSA,270495,59396,0,0,0,0
2899663,USA,17780,,"College Station-Bryan, Tx",,,CBSA,269418,58659,0,0,0,0
2899872,USA,11100,,"Amarillo, Tx",,,CBSA,269278,64147,0,0,0,0
2900341,USA,42100,,"Santa Cruz-Watsonville, Ca",,,CBSA,268571,104409,0,0,0,0
2900196,USA,35980,,"Norwich-New London, Ct",,,CBSA,268448,84755,0,0,0,0
2900046,USA,29700,,"Laredo, Tx",,,CBSA,267282,59984,0,0,0,0
2900084,USA,31340,,"Lynchburg, Va",,,CBSA,262124,64307,0,0,0,0
